generation,off.nbr,off.nbfem,off.nbmal,off.density,off.dvar,off.sexratio,adlt.nbr,adlt.nbfem,adlt.nbmal,adlt.density,adlt.dvar,adlt.sexratio,extrate,off.fem.p1,off.fem.p2,off.fem.p3,off.fem.p4,off.fem.p5,off.fem.p6,off.fem.p7,off.fem.p8,off.fem.p9,off.mal.p1,off.mal.p2,off.mal.p3,off.mal.p4,off.mal.p5,off.mal.p6,off.mal.p7,off.mal.p8,off.mal.p9,adlt.fem.p1,adlt.fem.p2,adlt.fem.p3,adlt.fem.p4,adlt.fem.p5,adlt.fem.p6,adlt.fem.p7,adlt.fem.p8,adlt.fem.p9,adlt.mal.p1,adlt.mal.p2,adlt.mal.p3,adlt.mal.p4,adlt.mal.p5,adlt.mal.p6,adlt.mal.p7,adlt.mal.p8,adlt.mal.p9,age.patch1,age.patch2,age.patch3,age.patch4,age.patch5,age.patch6,age.patch7,age.patch8,age.patch9,patch.avg.age,extrate
100,2.2692e+03,1.4328e+02,1.4038e+02,0.0000e+00,1.1459e-02,1.1916e+00,1.6797e+03,1.0500e+02,1.0496e+02,0.0000e+00,6.0267e-06,1.1672e+00,2.5923e-01,1.7400e+02,8.7833e+01,1.7717e+02,9.0167e+01,1.7367e+02,0.0000e+00,1.7783e+02,1.7600e+02,8.9500e+01,1.7317e+02,8.3167e+01,1.7467e+02,8.5000e+01,1.6950e+02,0.0000e+00,1.7783e+02,1.7417e+02,8.5500e+01,1.2950e+02,6.4167e+01,1.2950e+02,6.4167e+01,1.2950e+02,0.0000e+00,1.2950e+02,1.2950e+02,6.4167e+01,1.2950e+02,6.3833e+01,1.2950e+02,6.4167e+01,1.2950e+02,0.0000e+00,1.2950e+02,1.2950e+02,6.4167e+01,1.1550e+02,1.1550e+02,1.1550e+02,1.1550e+02,1.1550e+02,0.0000e+00,1.1550e+02,1.1550e+02,1.1550e+02,1.0267e+02,
105,2.2280e+03,1.3898e+02,1.3950e+02,0.0000e+00,1.3506e-02,1.1621e+00,1.6770e+03,1.0465e+02,1.0498e+02,0.0000e+00,1.0071e-04,1.1630e+00,2.5923e-01,1.7017e+02,8.2833e+01,1.7250e+02,8.6833e+01,1.6317e+02,0.0000e+00,1.6683e+02,1.7983e+02,8.9667e+01,1.6967e+02,8.6000e+01,1.6467e+02,8.5333e+01,1.5383e+02,0.0000e+00,1.8367e+02,1.8167e+02,9.1333e+01,1.2950e+02,6.4000e+01,1.2950e+02,6.4167e+01,1.2683e+02,0.0000e+00,1.2950e+02,1.2950e+02,6.4167e+01,1.2950e+02,6.4000e+01,1.2950e+02,6.4167e+01,1.2950e+02,0.0000e+00,1.2950e+02,1.2950e+02,6.4167e+01,1.2133e+02,1.2133e+02,1.2133e+02,1.2133e+02,1.2133e+02,0.0000e+00,1.2133e+02,1.2133e+02,1.2133e+02,1.0733e+02,
110,2.2550e+03,1.4143e+02,1.4040e+02,0.0000e+00,1.7492e-02,1.1757e+00,1.6773e+03,1.0471e+02,1.0496e+02,0.0000e+00,3.0136e-04,1.1639e+00,2.5923e-01,1.7550e+02,7.9333e+01,1.7650e+02,8.3500e+01,1.7450e+02,0.0000e+00,1.6967e+02,1.7983e+02,9.2833e+01,1.6733e+02,8.5833e+01,1.7117e+02,8.3000e+01,1.7433e+02,0.0000e+00,1.8017e+02,1.7000e+02,9.1500e+01,1.2950e+02,6.1833e+01,1.2950e+02,6.4167e+01,1.2950e+02,0.0000e+00,1.2950e+02,1.2950e+02,6.4167e+01,1.2950e+02,6.3833e+01,1.2950e+02,6.4167e+01,1.2950e+02,0.0000e+00,1.2950e+02,1.2950e+02,6.4167e+01,1.2717e+02,1.2717e+02,1.2717e+02,1.2717e+02,1.2717e+02,0.0000e+00,1.2717e+02,1.2717e+02,1.2717e+02,1.1200e+02,
115,2.2310e+03,1.3908e+02,1.3978e+02,0.0000e+00,1.7745e-02,1.1613e+00,1.6760e+03,1.0462e+02,1.0488e+02,0.0000e+00,8.6783e-04,1.1639e+00,2.5923e-01,1.7283e+02,8.0833e+01,1.7133e+02,8.7000e+01,1.7350e+02,0.0000e+00,1.6850e+02,1.6867e+02,8.9833e+01,1.6267e+02,7.8000e+01,1.7650e+02,8.9333e+01,1.8233e+02,0.0000e+00,1.7083e+02,1.6883e+02,9.0000e+01,1.2950e+02,6.1167e+01,1.2950e+02,6.4167e+01,1.2950e+02,0.0000e+00,1.2950e+02,1.2950e+02,6.4167e+01,1.2950e+02,6.3167e+01,1.2950e+02,6.4167e+01,1.2950e+02,0.0000e+00,1.2950e+02,1.2950e+02,6.4167e+01,1.3300e+02,1.3300e+02,1.3300e+02,1.3300e+02,1.3300e+02,0.0000e+00,1.3300e+02,1.3300e+02,1.3300e+02,1.1783e+02,
120,2.2508e+03,1.4317e+02,1.3818e+02,0.0000e+00,1.3085e-02,1.2088e+00,1.6788e+03,1.0494e+02,1.0492e+02,0.0000e+00,7.3817e-05,1.1668e+00,2.5923e-01,1.7817e+02,8.5667e+01,1.6683e+02,8.9667e+01,1.7717e+02,0.0000e+00,1.8167e+02,1.8033e+02,8.5833e+01,1.6583e+02,7.8333e+01,1.7550e+02,9.2833e+01,1.7000e+02,0.0000e+00,1.6500e+02,1.7433e+02,8.3667e+01,1.2950e+02,6.3667e+01,1.2950e+02,6.4167e+01,1.2950e+02,0.0000e+00,1.2950e+02,1.2950e+02,6.4167e+01,1.2950e+02,6.3500e+01,1.2950e+02,6.4167e+01,1.2950e+02,0.0000e+00,1.2950e+02,1.2950e+02,6.4167e+01,1.3883e+02,1.3883e+02,1.3883e+02,1.3883e+02,1.3883e+02,0.0000e+00,1.3883e+02,1.3883e+02,1.3883e+02,1.2250e+02,
125,2.3108e+03,1.4560e+02,1.4322e+02,0.0000e+00,1.4161e-02,1.1868e+00,1.6798e+03,1.0498e+02,1.0500e+02,0.0000e+00,3.6983e-07,1.1664e+00,2.5923e-01,1.8683e+02,8.7667e+01,1.7917e+02,9.1667e+01,1.8000e+02,0.0000e+00,1.7750e+02,1.7600e+02,8.6167e+01,1.7467e+02,8.7333e+01,1.8450e+02,9.2000e+01,1.7333e+02,0.0000e+00,1.6783e+02,1.7650e+02,8.9667e+01,1.2950e+02,6.4167e+01,1.2933e+02,6.4167e+01,1.2950e+02,0.0000e+00,1.2950e+02,1.2950e+02,6.4167e+01,1.2950e+02,6.4167e+01,1.2950e+02,6.4167e+01,1.2950e+02,0.0000e+00,1.2950e+02,1.2950e+02,6.4167e+01,1.4467e+02,1.4467e+02,1.4467e+02,1.4467e+02,1.4467e+02,0.0000e+00,1.4467e+02,1.4467e+02,1.4467e+02,1.2833e+02,
130,2.2818e+03,1.4200e+02,1.4325e+02,0.0000e+00,1.8083e-02,1.1571e+00,1.6790e+03,1.0487e+02,1.0500e+02,0.0000e+00,2.7117e-05,1.1653e+00,2.5923e-01,1.8183e+02,8.0500e+01,1.7267e+02,8.5833e+01,1.6917e+02,0.0000e+00,1.8417e+02,1.7450e+02,8.7000e+01,1.7033e+02,7.9167e+01,1.7217e+02,9.5000e+01,1.8250e+02,0.0000e+00,1.7767e+02,1.7750e+02,9.1833e+01,1.2950e+02,6.3167e+01,1.2950e+02,6.4167e+01,1.2950e+02,0.0000e+00,1.2950e+02,1.2950e+02,6.4167e+01,1.2950e+02,6.4167e+01,1.2950e+02,6.4167e+01,1.2950e+02,0.0000e+00,1.2950e+02,1.2950e+02,6.4167e+01,1.5050e+02,1.5050e+02,1.5050e+02,1.5050e+02,1.5050e+02,0.0000e+00,1.5050e+02,1.5050e+02,1.5050e+02,1.3300e+02,
135,2.2758e+03,1.4123e+02,1.4323e+02,0.0000e+00,2.1038e-02,1.1504e+00,1.6795e+03,1.0494e+02,1.0500e+02,0.0000e+00,1.3558e-05,1.1660e+00,2.5923e-01,1.8667e+02,7.6333e+01,1.7350e+02,8.4333e+01,1.6900e+02,0.0000e+00,1.8433e+02,1.7200e+02,8.3833e+01,1.7267e+02,7.3667e+01,1.6750e+02,9.1667e+01,1.7617e+02,0.0000e+00,1.8333e+02,1.8467e+02,9.6167e+01,1.2950e+02,6.3667e+01,1.2950e+02,6.4167e+01,1.2950e+02,0.0000e+00,1.2950e+02,1.2950e+02,6.4167e+01,1.2950e+02,6.4167e+01,1.2950e+02,6.4167e+01,1.2950e+02,0.0000e+00,1.2950e+02,1.2950e+02,6.4167e+01,1.5633e+02,1.5633e+02,1.5633e+02,1.5633e+02,1.5633e+02,0.0000e+00,1.5633e+02,1.5633e+02,1.5633e+02,1.3883e+02,
140,2.2507e+03,1.3658e+02,1.4477e+02,0.0000e+00,1.9968e-02,1.1018e+00,1.6788e+03,1.0500e+02,1.0485e+02,0.0000e+00,5.3167e-05,1.1683e+00,2.5923e-01,1.7500e+02,8.2333e+01,1.7700e+02,7.9000e+01,1.6400e+02,0.0000e+00,1.7200e+02,1.6983e+02,7.3500e+01,1.8150e+02,8.4667e+01,1.8533e+02,8.1000e+01,1.7800e+02,0.0000e+00,1.8583e+02,1.7783e+02,8.3833e+01,1.2950e+02,6.4167e+01,1.2950e+02,6.4167e+01,1.2950e+02,0.0000e+00,1.2950e+02,1.2950e+02,6.4167e+01,1.2950e+02,6.4167e+01,1.2950e+02,6.3167e+01,1.2950e+02,0.0000e+00,1.2950e+02,1.2950e+02,6.4000e+01,1.6217e+02,1.6217e+02,1.6217e+02,1.6217e+02,1.6217e+02,0.0000e+00,1.6217e+02,1.6217e+02,1.6217e+02,1.4350e+02,
145,2.2422e+03,1.3865e+02,1.4163e+02,0.0000e+00,2.4909e-02,1.1472e+00,1.6738e+03,1.0456e+02,1.0467e+02,0.0000e+00,1.0682e-03,1.1655e+00,2.5923e-01,1.6433e+02,7.1667e+01,1.7317e+02,8.7167e+01,1.7400e+02,0.0000e+00,1.8300e+02,1.6800e+02,8.7833e+01,1.7200e+02,7.8000e+01,1.7400e+02,8.4333e+01,1.8800e+02,0.0000e+00,1.7333e+02,1.7950e+02,8.3833e+01,1.2950e+02,6.0667e+01,1.2950e+02,6.4167e+01,1.2950e+02,0.0000e+00,1.2950e+02,1.2950e+02,6.4167e+01,1.2950e+02,6.1500e+01,1.2950e+02,6.4167e+01,1.2950e+02,0.0000e+00,1.2950e+02,1.2950e+02,6.4167e+01,1.6800e+02,1.6800e+02,1.6800e+02,1.6800e+02,1.6800e+02,0.0000e+00,1.6800e+02,1.6800e+02,1.6800e+02,1.4933e+02,
150,3.7177e+03,2.3130e+02,2.3342e+02,0.0000e+00,2.8183e-02,1.1558e+00,1.6762e+03,1.0485e+02,1.0467e+02,0.0000e+00,7.9700e-04,1.1688e+00,2.5923e-01,2.8567e+02,1.3033e+02,2.8500e+02,1.4500e+02,2.8583e+02,0.0000e+00,2.9100e+02,2.8133e+02,1.4617e+02,2.8817e+02,1.2967e+02,2.7017e+02,1.4617e+02,2.8650e+02,0.0000e+00,2.9717e+02,3.0117e+02,1.4833e+02,1.2950e+02,6.3000e+01,1.2950e+02,6.4167e+01,1.2950e+02,0.0000e+00,1.2950e+02,1.2950e+02,6.4167e+01,1.2950e+02,6.1500e+01,1.2950e+02,6.4167e+01,1.2950e+02,0.0000e+00,1.2950e+02,1.2950e+02,6.4167e+01,1.7383e+02,1.7383e+02,1.7383e+02,1.7383e+02,1.7383e+02,0.0000e+00,1.7383e+02,1.7383e+02,1.7383e+02,1.5400e+02,
155,3.4437e+03,2.1473e+02,2.1573e+02,0.0000e+00,8.6375e-02,1.1615e+00,1.5700e+03,9.8413e+01,9.7833e+01,0.0000e+00,9.6702e-03,1.1737e+00,2.5923e-01,2.8900e+02,1.1583e+02,2.4683e+02,1.3950e+02,2.3050e+02,0.0000e+00,2.8333e+02,2.8050e+02,1.3233e+02,2.8667e+02,1.1033e+02,2.4450e+02,1.4517e+02,2.2400e+02,0.0000e+00,2.8783e+02,2.9783e+02,1.2950e+02,1.2950e+02,6.0000e+01,1.1233e+02,6.4167e+01,1.0783e+02,0.0000e+00,1.2950e+02,1.2650e+02,5.7500e+01,1.2950e+02,6.1000e+01,1.1000e+02,6.4167e+01,1.0717e+02,0.0000e+00,1.2950e+02,1.2517e+02,5.6167e+01,1.7967e+02,1.7967e+02,1.7967e+02,1.7967e+02,1.7967e+02,0.0000e+00,1.7967e+02,1.7967e+02,1.7967e+02,1.5867e+02,
160,3.4045e+03,2.1190e+02,2.1368e+02,0.0000e+00,7.8933e-02,1.1575e+00,1.5553e+03,9.7313e+01,9.7105e+01,0.0000e+00,1.0638e-02,1.1692e+00,2.5923e-01,2.8283e+02,1.0433e+02,2.5950e+02,1.3550e+02,2.4217e+02,0.0000e+00,2.8717e+02,2.7300e+02,1.1050e+02,2.9133e+02,1.0400e+02,2.4200e+02,1.4217e+02,2.3350e+02,0.0000e+00,3.0317e+02,2.7267e+02,1.2067e+02,1.2950e+02,5.1000e+01,1.1600e+02,6.4167e+01,1.1083e+02,0.0000e+00,1.2950e+02,1.2550e+02,5.2000e+01,1.2950e+02,5.5333e+01,1.1367e+02,6.4167e+01,1.0417e+02,0.0000e+00,1.2950e+02,1.2617e+02,5.4333e+01,1.8550e+02,1.8550e+02,1.8550e+02,1.8550e+02,1.8550e+02,0.0000e+00,1.8550e+02,1.8550e+02,1.8550e+02,1.6450e+02,
165,3.3845e+03,2.1195e+02,2.1107e+02,0.0000e+00,1.1066e-01,1.1717e+00,1.5260e+03,9.5163e+01,9.5587e+01,0.0000e+00,1.1332e-02,1.1616e+00,2.5923e-01,2.9800e+02,1.1233e+02,2.4000e+02,1.4683e+02,2.2117e+02,0.0000e+00,2.9800e+02,2.7017e+02,1.0933e+02,2.8567e+02,1.2400e+02,2.2433e+02,1.5033e+02,2.3317e+02,0.0000e+00,2.9000e+02,2.6083e+02,1.2033e+02,1.2950e+02,5.5500e+01,1.0750e+02,6.4167e+01,1.0550e+02,0.0000e+00,1.2950e+02,1.1800e+02,5.1667e+01,1.2950e+02,5.8167e+01,1.0017e+02,6.4167e+01,1.0950e+02,0.0000e+00,1.2950e+02,1.1900e+02,5.4667e+01,1.9133e+02,1.9133e+02,1.9133e+02,1.9133e+02,1.9133e+02,0.0000e+00,1.9133e+02,1.9133e+02,1.9133e+02,1.6917e+02,
170,3.4202e+03,2.1127e+02,2.1628e+02,0.0000e+00,8.1108e-02,1.1386e+00,1.5553e+03,9.7747e+01,9.6668e+01,0.0000e+00,1.0316e-02,1.1798e+00,2.5923e-01,2.8833e+02,1.1917e+02,2.3967e+02,1.4300e+02,2.3050e+02,0.0000e+00,2.9517e+02,2.5567e+02,1.1850e+02,2.8683e+02,1.1267e+02,2.6433e+02,1.4383e+02,2.3633e+02,0.0000e+00,2.9833e+02,2.5933e+02,1.2850e+02,1.2950e+02,5.7333e+01,1.1817e+02,6.4167e+01,1.0983e+02,0.0000e+00,1.2950e+02,1.1967e+02,5.3833e+01,1.2950e+02,5.6333e+01,1.1883e+02,6.4167e+01,1.0517e+02,0.0000e+00,1.2950e+02,1.1733e+02,5.2500e+01,1.9717e+02,1.9717e+02,1.9717e+02,1.9717e+02,1.9717e+02,0.0000e+00,1.9717e+02,1.9717e+02,1.9717e+02,1.7500e+02,
175,3.3332e+03,2.0528e+02,2.1135e+02,0.0000e+00,1.0686e-01,1.1336e+00,1.5223e+03,9.5270e+01,9.5020e+01,0.0000e+00,1.0822e-02,1.1699e+00,2.5923e-01,2.7317e+02,1.0917e+02,2.1300e+02,1.4550e+02,2.2383e+02,0.0000e+00,2.9583e+02,2.6733e+02,1.1450e+02,2.8433e+02,1.1833e+02,2.2633e+02,1.5233e+02,2.1800e+02,0.0000e+00,2.9483e+02,2.7117e+02,1.2550e+02,1.2950e+02,5.5667e+01,1.0583e+02,6.4167e+01,1.0450e+02,0.0000e+00,1.2950e+02,1.2033e+02,5.2667e+01,1.2950e+02,5.8000e+01,1.0917e+02,6.4167e+01,1.0317e+02,0.0000e+00,1.2950e+02,1.1667e+02,5.0000e+01,2.0300e+02,2.0300e+02,2.0300e+02,2.0300e+02,2.0300e+02,0.0000e+00,2.0300e+02,2.0300e+02,2.0300e+02,1.7967e+02,
180,3.2980e+03,2.0928e+02,2.0298e+02,0.0000e+00,1.0433e-01,1.2036e+00,1.5260e+03,9.5167e+01,9.5585e+01,0.0000e+00,1.1241e-02,1.1616e+00,2.5923e-01,2.7933e+02,1.1167e+02,2.5517e+02,1.5100e+02,2.3867e+02,0.0000e+00,2.9433e+02,2.2883e+02,1.1517e+02,2.7067e+02,1.0717e+02,2.3400e+02,1.4083e+02,2.3583e+02,0.0000e+00,2.9517e+02,2.3300e+02,1.0717e+02,1.2950e+02,5.3833e+01,1.1100e+02,6.4167e+01,1.1200e+02,0.0000e+00,1.2950e+02,1.0917e+02,5.2167e+01,1.2950e+02,5.6167e+01,1.1133e+02,6.4167e+01,1.1033e+02,0.0000e+00,1.2950e+02,1.1317e+02,5.0500e+01,2.0883e+02,2.0883e+02,2.0883e+02,2.0883e+02,2.0883e+02,0.0000e+00,2.0883e+02,2.0883e+02,2.0883e+02,1.8550e+02,
185,3.4575e+03,2.1555e+02,2.1667e+02,0.0000e+00,7.1562e-02,1.1641e+00,1.5810e+03,9.9043e+01,9.8583e+01,0.0000e+00,9.2592e-03,1.1723e+00,2.5923e-01,2.8900e+02,1.3017e+02,2.4417e+02,1.4383e+02,2.3150e+02,0.0000e+00,2.9833e+02,2.6367e+02,1.2367e+02,2.9017e+02,1.2633e+02,2.4933e+02,1.4067e+02,2.3133e+02,0.0000e+00,2.9100e+02,2.6950e+02,1.3483e+02,1.2950e+02,6.2167e+01,1.1500e+02,6.4167e+01,1.1267e+02,0.0000e+00,1.2950e+02,1.2100e+02,5.8333e+01,1.2950e+02,6.2500e+01,1.1467e+02,6.4167e+01,1.0967e+02,0.0000e+00,1.2950e+02,1.2333e+02,5.5333e+01,2.1467e+02,2.1467e+02,2.1467e+02,2.1467e+02,2.1467e+02,0.0000e+00,2.1467e+02,2.1467e+02,2.1467e+02,1.9017e+02,
190,3.2972e+03,2.0658e+02,2.0557e+02,0.0000e+00,1.0197e-01,1.1728e+00,1.5480e+03,9.6627e+01,9.6873e+01,0.0000e+00,1.0826e-02,1.1637e+00,2.5923e-01,2.8333e+02,1.1967e+02,2.1500e+02,1.3133e+02,2.2350e+02,0.0000e+00,2.9983e+02,2.6183e+02,1.1817e+02,2.7983e+02,1.1917e+02,2.2633e+02,1.3317e+02,2.1800e+02,0.0000e+00,2.8817e+02,2.6000e+02,1.1983e+02,1.2950e+02,5.6167e+01,1.0950e+02,6.4167e+01,1.0650e+02,0.0000e+00,1.2950e+02,1.2250e+02,5.5167e+01,1.2950e+02,5.3833e+01,1.1283e+02,6.4167e+01,1.0850e+02,0.0000e+00,1.2950e+02,1.2183e+02,5.4833e+01,2.2050e+02,2.2050e+02,2.2050e+02,2.2050e+02,2.2050e+02,0.0000e+00,2.2050e+02,2.2050e+02,2.2050e+02,1.9600e+02,
195,3.2917e+03,2.0448e+02,2.0698e+02,0.0000e+00,8.7903e-02,1.1534e+00,1.5370e+03,9.6313e+01,9.5815e+01,0.0000e+00,1.0921e-02,1.1730e+00,2.5923e-01,2.6717e+02,1.2733e+02,2.2717e+02,1.4250e+02,2.2667e+02,0.0000e+00,2.8700e+02,2.4117e+02,1.1700e+02,2.7183e+02,1.1617e+02,2.2933e+02,1.4700e+02,2.4083e+02,0.0000e+00,2.9333e+02,2.3400e+02,1.2317e+02,1.2950e+02,5.9167e+01,1.1150e+02,6.4167e+01,1.1017e+02,0.0000e+00,1.2950e+02,1.1367e+02,5.2833e+01,1.2950e+02,5.8167e+01,1.1083e+02,6.4167e+01,1.0483e+02,0.0000e+00,1.2950e+02,1.1600e+02,5.3500e+01,2.2633e+02,2.2633e+02,2.2633e+02,2.2633e+02,2.2633e+02,0.0000e+00,2.2633e+02,2.2633e+02,2.2633e+02,2.0067e+02,
200,3.3115e+03,2.0637e+02,2.0760e+02,0.0000e+00,1.0436e-01,1.1603e+00,1.5260e+03,9.5080e+01,9.5667e+01,0.0000e+00,1.1038e-02,1.1596e+00,2.5923e-01,2.8483e+02,1.1650e+02,2.3583e+02,1.4433e+02,2.2467e+02,0.0000e+00,3.0550e+02,2.3250e+02,1.0667e+02,2.8600e+02,1.1717e+02,2.4300e+02,1.4017e+02,2.1883e+02,0.0000e+00,2.9133e+02,2.4800e+02,1.1617e+02,1.2950e+02,5.4667e+01,1.1517e+02,6.4167e+01,1.0400e+02,0.0000e+00,1.2950e+02,1.1367e+02,5.0000e+01,1.2950e+02,5.5333e+01,1.1450e+02,6.4167e+01,1.0367e+02,0.0000e+00,1.2950e+02,1.1600e+02,5.2667e+01,2.3217e+02,2.3217e+02,2.3217e+02,2.3217e+02,2.3217e+02,0.0000e+00,2.3217e+02,2.3217e+02,2.3217e+02,2.0533e+02,
205,3.2938e+03,2.0360e+02,2.0813e+02,0.0000e+00,7.1893e-02,1.1420e+00,1.5333e+03,9.5812e+01,9.5855e+01,0.0000e+00,1.1028e-02,1.1664e+00,2.5923e-01,2.7383e+02,1.1833e+02,2.3233e+02,1.4150e+02,2.1717e+02,0.0000e+00,2.9117e+02,2.3917e+02,1.1517e+02,2.7600e+02,1.2500e+02,2.4250e+02,1.4300e+02,2.3083e+02,0.0000e+00,2.8150e+02,2.5950e+02,1.0683e+02,1.2950e+02,5.8333e+01,1.1183e+02,6.4167e+01,1.0633e+02,0.0000e+00,1.2950e+02,1.1567e+02,5.1167e+01,1.2950e+02,5.9000e+01,1.1050e+02,6.4167e+01,1.0867e+02,0.0000e+00,1.2950e+02,1.1400e+02,5.1500e+01,2.3800e+02,2.3800e+02,2.3800e+02,2.3800e+02,2.3800e+02,0.0000e+00,2.3800e+02,2.3800e+02,2.3800e+02,2.1117e+02,
210,3.3067e+03,2.0778e+02,2.0557e+02,0.0000e+00,7.8380e-02,1.1799e+00,1.5443e+03,9.6540e+01,9.6498e+01,0.0000e+00,1.0907e-02,1.1673e+00,2.5923e-01,2.7650e+02,1.1000e+02,2.3633e+02,1.4183e+02,2.3400e+02,0.0000e+00,2.9533e+02,2.3867e+02,1.2950e+02,2.8633e+02,1.1517e+02,2.4217e+02,1.4167e+02,2.1250e+02,0.0000e+00,2.8467e+02,2.4333e+02,1.1867e+02,1.2950e+02,5.8000e+01,1.1783e+02,6.4167e+01,1.0417e+02,0.0000e+00,1.2950e+02,1.1217e+02,5.7000e+01,1.2950e+02,5.9333e+01,1.1917e+02,6.4167e+01,1.0350e+02,0.0000e+00,1.2950e+02,1.1017e+02,5.6667e+01,2.4383e+02,2.4383e+02,2.4383e+02,2.4383e+02,2.4383e+02,0.0000e+00,2.4383e+02,2.4383e+02,2.4383e+02,2.1583e+02,
215,3.2748e+03,2.0540e+02,2.0395e+02,0.0000e+00,9.5120e-02,1.1769e+00,1.5443e+03,9.6895e+01,9.6147e+01,0.0000e+00,1.0616e-02,1.1763e+00,2.5923e-01,2.6600e+02,1.0800e+02,2.3133e+02,1.5017e+02,2.2650e+02,0.0000e+00,2.8900e+02,2.6233e+02,1.1000e+02,2.8683e+02,1.0683e+02,2.1850e+02,1.3600e+02,2.1217e+02,0.0000e+00,2.9200e+02,2.5500e+02,1.2417e+02,1.2950e+02,5.6500e+01,1.1617e+02,6.4167e+01,1.0850e+02,0.0000e+00,1.2950e+02,1.1650e+02,5.4333e+01,1.2950e+02,5.7167e+01,1.1350e+02,6.4167e+01,1.0650e+02,0.0000e+00,1.2950e+02,1.1317e+02,5.5667e+01,2.4967e+02,2.4967e+02,2.4967e+02,2.4967e+02,2.4967e+02,0.0000e+00,2.4967e+02,2.4967e+02,2.4967e+02,2.2167e+02,
220,3.3133e+03,2.0928e+02,2.0488e+02,0.0000e+00,7.8925e-02,1.1921e+00,1.5407e+03,9.6478e+01,9.6105e+01,0.0000e+00,1.0896e-02,1.1711e+00,2.5923e-01,2.8850e+02,1.2867e+02,2.2467e+02,1.4150e+02,2.1517e+02,0.0000e+00,2.9417e+02,2.5883e+02,1.2283e+02,2.7800e+02,1.2917e+02,2.1700e+02,1.3533e+02,2.1367e+02,0.0000e+00,2.8633e+02,2.5717e+02,1.2233e+02,1.2950e+02,6.2167e+01,1.0900e+02,6.4167e+01,1.0450e+02,0.0000e+00,1.2950e+02,1.1817e+02,5.4833e+01,1.2950e+02,6.2500e+01,1.0600e+02,6.4167e+01,1.0317e+02,0.0000e+00,1.2950e+02,1.1883e+02,5.5167e+01,2.5550e+02,2.5550e+02,2.5550e+02,2.5550e+02,2.5550e+02,0.0000e+00,2.5550e+02,2.5550e+02,2.5550e+02,2.2633e+02,
225,3.3073e+03,2.0507e+02,2.0835e+02,0.0000e+00,8.3600e-02,1.1499e+00,1.5297e+03,9.6043e+01,9.5168e+01,0.0000e+00,1.0904e-02,1.1773e+00,2.5923e-01,2.7750e+02,1.2583e+02,2.1867e+02,1.3700e+02,2.2783e+02,0.0000e+00,2.7833e+02,2.4850e+02,1.2700e+02,2.7067e+02,1.3217e+02,2.2783e+02,1.3917e+02,2.3250e+02,0.0000e+00,2.8633e+02,2.5600e+02,1.2200e+02,1.2950e+02,6.1000e+01,1.0933e+02,6.4167e+01,1.0733e+02,0.0000e+00,1.2950e+02,1.1283e+02,5.4667e+01,1.2950e+02,6.0000e+01,1.0567e+02,6.4167e+01,1.0767e+02,0.0000e+00,1.2950e+02,1.0950e+02,5.5333e+01,2.6133e+02,2.6133e+02,2.6133e+02,2.6133e+02,2.6133e+02,0.0000e+00,2.6133e+02,2.6133e+02,2.6133e+02,2.3217e+02,
230,3.3305e+03,2.0782e+02,2.0850e+02,0.0000e+00,8.6897e-02,1.1642e+00,1.5407e+03,9.6692e+01,9.5897e+01,0.0000e+00,1.0809e-02,1.1764e+00,2.5923e-01,2.7283e+02,1.2467e+02,2.2000e+02,1.4767e+02,2.4333e+02,0.0000e+00,2.7583e+02,2.5183e+02,1.2633e+02,2.8033e+02,1.2933e+02,2.2567e+02,1.4717e+02,2.3600e+02,0.0000e+00,2.7867e+02,2.5050e+02,1.2033e+02,1.2950e+02,6.0167e+01,1.0950e+02,6.4167e+01,1.1250e+02,0.0000e+00,1.2950e+02,1.1467e+02,5.3500e+01,1.2950e+02,6.0833e+01,1.0550e+02,6.4167e+01,1.0983e+02,0.0000e+00,1.2950e+02,1.1500e+02,5.2833e+01,2.6717e+02,2.6717e+02,2.6717e+02,2.6717e+02,2.6717e+02,0.0000e+00,2.6717e+02,2.6717e+02,2.6717e+02,2.3683e+02,
235,3.2562e+03,2.0183e+02,2.0518e+02,0.0000e+00,7.6410e-02,1.1490e+00,1.5187e+03,9.5103e+01,9.4728e+01,0.0000e+00,1.0608e-02,1.1718e+00,2.5923e-01,2.7200e+02,1.2217e+02,2.2633e+02,1.4500e+02,2.0900e+02,0.0000e+00,2.7600e+02,2.5300e+02,1.1117e+02,2.8733e+02,1.2133e+02,2.3183e+02,1.4367e+02,2.2533e+02,0.0000e+00,2.8017e+02,2.3933e+02,1.1250e+02,1.2950e+02,5.9000e+01,1.1017e+02,6.4167e+01,1.0317e+02,0.0000e+00,1.2950e+02,1.1550e+02,4.9833e+01,1.2950e+02,5.8333e+01,1.0483e+02,6.4167e+01,1.0450e+02,0.0000e+00,1.2950e+02,1.1417e+02,5.2833e+01,2.7300e+02,2.7300e+02,2.7300e+02,2.7300e+02,2.7300e+02,0.0000e+00,2.7300e+02,2.7300e+02,2.7300e+02,2.4267e+02,
