replicate,generation,off.nbr,off.nbfem,off.nbmal,off.density,off.dvar,off.sexratio,adlt.nbr,adlt.nbfem,adlt.nbmal,adlt.density,adlt.dvar,adlt.sexratio,extrate,off.fem.p1,off.fem.p2,off.fem.p3,off.fem.p4,off.fem.p5,off.fem.p6,off.fem.p7,off.fem.p8,off.fem.p9,off.mal.p1,off.mal.p2,off.mal.p3,off.mal.p4,off.mal.p5,off.mal.p6,off.mal.p7,off.mal.p8,off.mal.p9,adlt.fem.p1,adlt.fem.p2,adlt.fem.p3,adlt.fem.p4,adlt.fem.p5,adlt.fem.p6,adlt.fem.p7,adlt.fem.p8,adlt.fem.p9,adlt.mal.p1,adlt.mal.p2,adlt.mal.p3,adlt.mal.p4,adlt.mal.p5,adlt.mal.p6,adlt.mal.p7,adlt.mal.p8,adlt.mal.p9,age.patch1,age.patch2,age.patch3,age.patch4,age.patch5,age.patch6,age.patch7,age.patch8,age.patch9,patch.avg.age,extrate,off.disp,off.fdisp,off.mdisp,adlt.disp,adlt.fdisp,adlt.mdisp
1,70,2030,128.2,125.5,#NOM?,0.002436,1.022,1440,90,90,#NOM?,0,1,0.1111,157,84,161,80,164,0,146,155,79,143,69,163,75,157,0,153,158,86,111,55,111,55,111,0,111,111,55,111,55,111,55,111,0,111,111,55,69,69,69,69,69,0,69,69,69,61,0.1111,0.5016,0.4742,0.5295,0.5055,0.4716,0.5394
1,75,1964,119.6,125.9,#NOM?,0.002915,0.9503,1440,90,90,#NOM?,0,1,0.1111,150,65,136,71,159,0,158,139,79,164,77,165,66,151,0,145,171,68,111,55,111,55,111,0,111,111,55,111,55,111,55,111,0,111,111,55,74,74,74,74,74,0,74,74,74,65,0.1111,0.5123,0.4742,0.5485,0.5057,0.4721,0.5394
1,80,1973,121.1,125.5,#NOM?,0.02664,0.9651,1440,90,90,#NOM?,0,1,0.1111,159,71,175,92,147,0,114,140,71,149,79,187,89,144,0,138,146,72,111,55,111,55,111,0,111,111,55,111,55,111,55,111,0,111,111,55,79,79,79,79,79,0,79,79,79,70,0.1111,0.5047,0.4604,0.5476,0.506,0.4719,0.5401
1,85,1985,124.8,123.4,#NOM?,0.006992,1.011,1440,90,90,#NOM?,0,1,0.1111,151,66,152,88,164,0,145,158,74,157,68,150,78,157,0,143,157,77,111,55,111,55,111,0,111,111,55,111,55,111,55,111,0,111,111,55,84,84,84,84,84,0,84,84,84,74,0.1111,0.5014,0.4681,0.5349,0.5058,0.4719,0.5397
1,90,2051,127.6,128.8,#NOM?,0.006939,0.9913,1440,90,90,#NOM?,0,1,0.1111,154,79,170,81,154,0,155,143,85,136,92,153,76,148,0,163,174,88,111,55,111,55,111,0,111,111,55,111,55,111,55,111,0,111,111,55,89,89,89,89,89,0,89,89,89,79,0.1111,0.4969,0.4655,0.528,0.5056,0.4717,0.5395
1,95,2000,126.2,123.8,#NOM?,0.01698,1.02,1440,90,90,#NOM?,0,1,0.1111,160,80,180,76,153,0,146,158,57,137,77,173,72,161,0,141,164,65,111,55,111,55,111,0,111,111,55,111,55,111,55,111,0,111,111,55,94,94,94,94,94,0,94,94,94,83,0.1111,0.4977,0.4588,0.5374,0.5064,0.4717,0.5411
1,100,1993,121.1,128,#NOM?,0.005566,0.9463,1440,90,90,#NOM?,0,1,0.1111,158,69,156,64,140,0,134,170,78,144,91,165,86,153,0,146,165,74,111,55,111,55,111,0,111,111,55,111,55,111,55,111,0,111,111,55,99,99,99,99,99,0,99,99,99,88,0.1111,0.511,0.4818,0.5386,0.5065,0.472,0.541
1,105,1910,114.9,123.9,#NOM?,0.01703,0.9273,1440,90,90,#NOM?,0,1,0.1111,156,75,130,61,148,0,134,131,84,164,78,139,68,153,0,148,149,92,111,55,111,55,111,0,111,111,55,111,55,111,55,111,0,111,111,55,104,104,104,104,104,0,104,104,104,92,0.1111,0.5145,0.4906,0.5366,0.5059,0.4717,0.54
1,110,1978,126.5,120.8,#NOM?,0.02417,1.048,1440,90,90,#NOM?,0,1,0.1111,151,95,160,67,154,0,132,163,90,147,84,152,57,141,0,142,160,83,111,55,111,55,111,0,111,111,55,111,55,111,55,111,0,111,111,55,109,109,109,109,109,0,109,109,109,96,0.1111,0.5175,0.4956,0.5404,0.5094,0.481,0.5377
1,115,2010,122,129.2,#NOM?,0.02296,0.9439,1440,90,90,#NOM?,0,1,0.1111,160,68,163,70,181,0,122,143,69,158,105,165,56,158,0,138,181,73,111,55,111,55,111,0,111,111,55,111,55,111,55,111,0,111,111,55,114,114,114,114,114,0,114,114,114,101,0.1111,0.5291,0.5104,0.5467,0.5206,0.5017,0.5396
