generation,off.nbr,off.nbfem,off.nbmal,off.density,off.dvar,off.sexratio,adlt.nbr,adlt.nbfem,adlt.nbmal,adlt.density,adlt.dvar,adlt.sexratio,extrate,off.disp,off.fdisp,off.mdisp,adlt.disp,adlt.fdisp,adlt.mdisp,off.allnbp,off.allnb,off.fixlocp,off.fixloc,off.ho,off.hsnei,off.htnei,off.fis,off.fst,off.fit,adlt.allnbp,adlt.allnb,adlt.fixlocp,adlt.fixloc,adlt.ho,adlt.hsnei,adlt.htnei,adlt.fis,adlt.fst,adlt.fit
205,3.8123e+03,1.9215e+03,1.8908e+03,1.9062e+00,0.0000e+00,1.0163e+00,1.9807e+03,9.9367e+02,9.8700e+02,9.9033e-01,0.0000e+00,1.0072e+00,0.0000e+00,5.1572e-01,3.4997e-01,6.8383e-01,5.1632e-01,3.4997e-01,6.8398e-01,1.9417e+00,1.9417e+00,4.6667e+00,4.6667e+00,4.4908e-04,4.4895e-04,4.4895e-04,-3.1352e-04,-7.4000e-17,-3.1352e-04,1.4333e+00,1.4333e+00,1.2167e+01,1.2167e+01,3.6398e-04,3.6383e-04,3.6383e-04,-3.1907e-04,-1.1100e-16,-3.1907e-04,
210,3.6327e+03,1.8155e+03,1.8172e+03,1.8162e+00,0.0000e+00,9.9738e-01,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.1795e-01,3.4996e-01,6.8388e-01,5.1692e-01,3.4998e-01,6.8387e-01,1.7333e+00,1.7333e+00,7.8333e+00,7.8333e+00,3.8567e-04,3.8558e-04,3.8558e-04,-2.5605e-04,0.0000e+00,-2.5605e-04,1.5500e+00,1.5500e+00,1.0667e+01,1.0667e+01,3.7083e-04,3.7075e-04,3.7075e-04,-1.9087e-04,-1.1100e-16,-1.9087e-04,
215,3.7880e+03,1.8922e+03,1.8958e+03,1.8942e+00,0.0000e+00,9.9855e-01,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.1775e-01,3.4975e-01,6.8395e-01,5.1672e-01,3.4963e-01,6.8382e-01,1.7917e+00,1.7917e+00,6.8333e+00,6.8333e+00,4.2081e-03,3.3247e-03,3.3247e-03,-4.8746e-02,3.7000e-17,-4.8746e-02,1.5500e+00,1.5500e+00,1.0500e+01,1.0500e+01,4.4758e-03,4.5174e-03,4.5174e-03,1.4510e-03,-1.8500e-16,1.4510e-03,
220,3.6065e+03,1.7772e+03,1.8293e+03,1.8033e+00,0.0000e+00,9.6798e-01,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.2107e-01,3.4983e-01,6.8390e-01,5.1685e-01,3.4983e-01,6.8385e-01,1.8167e+00,1.8167e+00,6.0000e+00,6.0000e+00,8.0590e-04,7.9647e-04,7.9647e-04,-3.7207e-03,5.5500e-17,-3.7207e-03,1.6750e+00,1.6750e+00,8.0000e+00,8.0000e+00,1.2417e-03,1.2083e-03,1.2083e-03,-7.4561e-03,-7.4000e-17,-7.4561e-03,
225,3.6052e+03,1.8097e+03,1.7955e+03,1.8025e+00,0.0000e+00,1.0127e+00,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.1710e-01,3.4987e-01,6.8390e-01,5.1677e-01,3.4986e-01,6.8367e-01,1.7833e+00,1.7833e+00,6.8333e+00,6.8333e+00,4.2485e-04,4.2473e-04,4.2473e-04,-2.8182e-04,-7.4000e-17,-2.8182e-04,1.6417e+00,1.6417e+00,9.1667e+00,9.1667e+00,4.7500e-04,4.7488e-04,4.7488e-04,-2.4778e-04,-1.1100e-16,-2.4778e-04,
230,3.6170e+03,1.8022e+03,1.8148e+03,1.8083e+00,0.0000e+00,9.9003e-01,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.1867e-01,3.4983e-01,6.8390e-01,5.1682e-01,3.4978e-01,6.8383e-01,1.8083e+00,1.8083e+00,6.6667e+00,6.6667e+00,4.6444e-03,4.5593e-03,4.5593e-03,-3.6477e-03,0.0000e+00,-3.6477e-03,1.4500e+00,1.4500e+00,1.1667e+01,1.1667e+01,4.4833e-03,4.4482e-03,4.4482e-03,-1.6547e-03,-1.1100e-16,-1.6547e-03,
235,3.6103e+03,1.8087e+03,1.8017e+03,1.8050e+00,0.0000e+00,1.0026e+00,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.1698e-01,3.4976e-01,6.8390e-01,5.1685e-01,3.4982e-01,6.8393e-01,1.8333e+00,1.8333e+00,6.6667e+00,6.6667e+00,4.5579e-03,4.5245e-03,4.5245e-03,-1.5723e-03,-5.5500e-17,-1.5723e-03,1.5917e+00,1.5917e+00,9.1667e+00,9.1667e+00,4.5542e-03,4.3740e-03,4.3740e-03,-7.7816e-03,-1.1100e-16,-7.7816e-03,
240,3.5288e+03,1.7675e+03,1.7613e+03,1.7645e+00,0.0000e+00,1.0050e+00,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.1675e-01,3.4973e-01,6.8380e-01,5.1687e-01,3.4984e-01,6.8388e-01,1.8250e+00,1.8250e+00,6.3333e+00,6.3333e+00,1.2077e-03,1.1691e-03,1.1691e-03,-7.9613e-03,0.0000e+00,-7.9613e-03,1.5750e+00,1.5750e+00,9.8333e+00,9.8333e+00,1.9375e-03,1.8012e-03,1.8012e-03,-1.6026e-02,-1.1100e-16,-1.6026e-02,
245,3.5698e+03,1.7908e+03,1.7790e+03,1.7852e+00,0.0000e+00,1.0077e+00,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.1618e-01,3.4990e-01,6.8392e-01,5.1692e-01,3.4991e-01,6.8395e-01,1.7167e+00,1.7167e+00,8.1667e+00,8.1667e+00,4.3605e-04,4.3577e-04,4.3577e-04,-4.8948e-04,-1.8500e-17,-4.8948e-04,1.4833e+00,1.4833e+00,1.1667e+01,1.1667e+01,4.5000e-04,4.4968e-04,4.4968e-04,-5.8618e-04,-7.4000e-17,-5.8618e-04,
250,3.5177e+03,1.7462e+03,1.7715e+03,1.7588e+00,0.0000e+00,9.8673e-01,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.1667e-01,3.4971e-01,6.8390e-01,5.1685e-01,3.4975e-01,6.8392e-01,1.7750e+00,1.7750e+00,7.0000e+00,7.0000e+00,3.6340e-04,3.6330e-04,3.6330e-04,-2.2345e-04,-5.5500e-17,-2.2345e-04,1.5500e+00,1.5500e+00,9.8333e+00,9.8333e+00,4.0833e-04,4.0822e-04,4.0822e-04,-2.0883e-04,-7.4000e-17,-2.0883e-04,
255,3.5555e+03,1.7603e+03,1.7952e+03,1.7778e+00,0.0000e+00,9.7907e-01,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.2002e-01,3.5264e-01,6.8383e-01,5.1983e-01,3.5578e-01,6.8392e-01,1.7500e+00,1.7500e+00,7.5000e+00,7.5000e+00,3.9220e-04,3.9212e-04,3.9212e-04,-2.9372e-04,-1.8500e-17,-2.9372e-04,1.5083e+00,1.5083e+00,1.1000e+01,1.1000e+01,3.8750e-04,3.8737e-04,3.8737e-04,-2.8680e-04,-1.4800e-16,-2.8680e-04,
260,3.5992e+03,1.7997e+03,1.7995e+03,1.7998e+00,0.0000e+00,1.0021e+00,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.1748e-01,3.5005e-01,6.8392e-01,5.1697e-01,3.5006e-01,6.8388e-01,1.7250e+00,1.7250e+00,7.5000e+00,7.5000e+00,4.5487e-03,3.5120e-03,3.5120e-03,-5.4649e-02,1.8500e-17,-5.4649e-02,1.5500e+00,1.5500e+00,9.8333e+00,9.8333e+00,4.0833e-04,4.0823e-04,4.0823e-04,-2.0901e-04,-3.7000e-17,-2.0901e-04,
265,3.6072e+03,1.8107e+03,1.7965e+03,1.8035e+00,0.0000e+00,1.0089e+00,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.1817e-01,3.5521e-01,6.8383e-01,5.1682e-01,3.4980e-01,6.8383e-01,1.8583e+00,1.8583e+00,6.0000e+00,6.0000e+00,8.9583e-03,7.6998e-03,7.6998e-03,-2.8772e-02,-1.4800e-16,-2.8772e-02,1.6083e+00,1.6083e+00,9.1667e+00,9.1667e+00,8.8700e-03,8.4016e-03,8.4016e-03,-9.8548e-03,-3.7000e-17,-9.8548e-03,
270,3.5900e+03,1.7738e+03,1.8162e+03,1.7952e+00,0.0000e+00,9.7697e-01,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.2557e-01,3.5971e-01,6.8378e-01,5.2152e-01,3.5908e-01,6.8395e-01,1.6583e+00,1.6583e+00,8.6667e+00,8.6667e+00,5.9515e-03,5.5231e-03,5.5231e-03,-1.3867e-02,0.0000e+00,-1.3867e-02,1.5667e+00,1.5667e+00,1.0500e+01,1.0500e+01,6.9208e-03,5.6341e-03,5.6341e-03,-4.0845e-02,-7.4000e-17,-4.0845e-02,
275,3.5918e+03,1.7703e+03,1.8215e+03,1.7960e+00,0.0000e+00,9.6850e-01,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.2282e-01,3.5624e-01,6.8445e-01,5.2400e-01,3.6237e-01,6.8560e-01,1.7000e+00,1.7000e+00,8.5000e+00,8.5000e+00,2.0217e-03,1.8553e-03,1.8553e-03,-1.7244e-02,3.7000e-17,-1.7244e-02,1.4833e+00,1.4833e+00,1.1167e+01,1.1167e+01,3.7875e-03,3.1257e-03,3.1257e-03,-3.9615e-02,-1.1100e-16,-3.9615e-02,
280,3.5892e+03,1.7898e+03,1.7993e+03,1.7945e+00,0.0000e+00,9.9818e-01,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.2890e-01,3.5757e-01,6.9787e-01,5.2340e-01,3.5501e-01,6.9182e-01,1.7417e+00,1.7417e+00,7.5000e+00,7.5000e+00,5.8658e-04,5.8413e-04,5.8413e-04,-1.7234e-03,-3.7000e-17,-1.7234e-03,1.5250e+00,1.5250e+00,1.0667e+01,1.0667e+01,9.1250e-04,8.9442e-04,8.9442e-04,-5.2833e-03,-7.4000e-17,-5.2833e-03,
285,3.5865e+03,1.8072e+03,1.7793e+03,1.7932e+00,0.0000e+00,1.0218e+00,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.2223e-01,3.5407e-01,6.9633e-01,5.2835e-01,3.5797e-01,6.9872e-01,1.7750e+00,1.7750e+00,6.5000e+00,6.5000e+00,4.0722e-04,4.0708e-04,4.0708e-04,-2.7486e-04,-5.5500e-17,-2.7486e-04,1.5250e+00,1.5250e+00,1.0500e+01,1.0500e+01,4.1250e-04,4.1237e-04,4.1237e-04,-3.1485e-04,-7.4000e-17,-3.1485e-04,
290,3.6080e+03,1.8083e+03,1.7997e+03,1.8042e+00,0.0000e+00,1.0097e+00,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.3305e-01,3.6492e-01,7.0407e-01,5.3145e-01,3.5914e-01,7.0377e-01,1.8250e+00,1.8250e+00,6.6667e+00,6.6667e+00,3.4178e-03,2.8728e-03,2.8728e-03,-3.6108e-02,0.0000e+00,-3.6108e-02,1.5000e+00,1.5000e+00,1.1167e+01,1.1167e+01,4.5033e-03,4.2649e-03,4.2649e-03,-1.0274e-02,-1.4800e-16,-1.0274e-02,
295,3.5972e+03,1.7877e+03,1.8095e+03,1.7987e+00,0.0000e+00,9.8837e-01,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.2717e-01,3.4780e-01,7.0425e-01,5.2493e-01,3.4568e-01,7.0418e-01,1.6833e+00,1.6833e+00,9.0000e+00,9.0000e+00,1.5875e-03,1.4971e-03,1.4971e-03,-1.2514e-02,3.7000e-17,-1.2514e-02,1.5000e+00,1.5000e+00,1.0833e+01,1.0833e+01,2.9008e-03,2.5091e-03,2.5091e-03,-2.9525e-02,-1.4800e-16,-2.9525e-02,
300,3.6037e+03,1.8052e+03,1.7985e+03,1.8017e+00,0.0000e+00,1.0039e+00,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.2498e-01,3.4617e-01,7.0432e-01,5.2340e-01,3.4251e-01,7.0428e-01,1.6917e+00,1.6917e+00,8.5000e+00,8.5000e+00,1.3726e-03,1.3045e-03,1.3045e-03,-1.1019e-02,5.5500e-17,-1.1019e-02,1.5083e+00,1.5083e+00,1.1000e+01,1.1000e+01,2.5000e-03,2.2315e-03,2.2315e-03,-2.3869e-02,-2.2200e-16,-2.3869e-02,
305,1.7512e+03,8.9217e+02,8.5900e+02,8.7567e-01,0.0000e+00,8.6620e-01,9.1317e+02,4.5667e+02,4.5650e+02,4.5658e-01,0.0000e+00,8.3487e-01,0.0000e+00,4.2177e-01,2.8758e-01,5.6458e-01,4.2252e-01,2.7429e-01,5.6445e-01,1.2083e+00,1.2083e+00,9.6667e+00,9.6667e+00,3.3038e-04,3.3023e-04,3.3023e-04,-3.6130e-04,0.0000e+00,-3.6130e-04,1.0750e+00,1.0750e+00,1.2333e+01,1.2333e+01,3.4167e-04,3.4082e-04,3.4082e-04,-9.3963e-04,0.0000e+00,-9.3963e-04,
310,1.6222e+03,8.2267e+02,7.9950e+02,8.1125e-01,0.0000e+00,8.5738e-01,8.4817e+02,4.1967e+02,4.2850e+02,4.2408e-01,0.0000e+00,8.1623e-01,0.0000e+00,4.2727e-01,2.8962e-01,5.6460e-01,4.2260e-01,2.7804e-01,5.6458e-01,1.1583e+00,1.1583e+00,1.1333e+01,1.1333e+01,2.2704e-03,2.0237e-03,2.0237e-03,-2.2469e-02,1.8500e-17,-2.2469e-02,1.0417e+00,1.0417e+00,1.2667e+01,1.2667e+01,4.2864e-03,3.2981e-03,3.2981e-03,-5.2121e-02,-7.4000e-17,-5.2121e-02,
315,1.4090e+03,7.1933e+02,6.8967e+02,7.0458e-01,0.0000e+00,6.9463e-01,7.1883e+02,3.6317e+02,3.5567e+02,3.5942e-01,0.0000e+00,6.8233e-01,0.0000e+00,3.5290e-01,2.5038e-01,4.6240e-01,3.5358e-01,2.4130e-01,4.6283e-01,9.6667e-01,9.6667e-01,7.8333e+00,7.8333e+00,2.6550e-04,2.6537e-04,2.6537e-04,-2.4609e-04,1.8500e-17,-2.4609e-04,8.8333e-01,8.8333e-01,9.3333e+00,9.3333e+00,2.9503e-04,2.9483e-04,2.9483e-04,-3.0860e-04,-7.4000e-17,-3.0860e-04,
320,1.1278e+03,5.7267e+02,5.5517e+02,5.6383e-01,0.0000e+00,5.1583e-01,5.5000e+02,2.8650e+02,2.6350e+02,2.7500e-01,0.0000e+00,5.4367e-01,0.0000e+00,2.4038e-01,1.3585e-01,3.4908e-01,2.3873e-01,1.3570e-01,3.4917e-01,7.8333e-01,7.8333e-01,4.8333e+00,4.8333e+00,2.1400e-04,2.1395e-04,2.1395e-04,-1.3897e-04,3.7000e-17,-1.3897e-04,7.0000e-01,7.0000e-01,6.1667e+00,6.1667e+00,2.3485e-04,2.3480e-04,2.3480e-04,-1.1495e-04,-1.1100e-16,-1.1495e-04,
325,1.0952e+03,5.5383e+02,5.4133e+02,5.4750e-01,0.0000e+00,5.1150e-01,5.5000e+02,2.7867e+02,2.7133e+02,2.7500e-01,0.0000e+00,5.1350e-01,0.0000e+00,2.4102e-01,1.3638e-01,3.4927e-01,2.4097e-01,1.3632e-01,3.4913e-01,7.2500e-01,7.2500e-01,5.8333e+00,5.8333e+00,1.8617e-04,1.8610e-04,1.8610e-04,-2.0245e-04,-3.7000e-17,-2.0245e-04,6.5000e-01,6.5000e-01,7.1667e+00,7.1667e+00,2.0455e-04,2.0447e-04,2.0447e-04,-2.1990e-04,-3.7000e-17,-2.1990e-04,
330,1.0628e+03,5.3450e+02,5.2833e+02,5.3150e-01,0.0000e+00,5.0573e-01,5.5000e+02,2.6983e+02,2.8017e+02,2.7500e-01,0.0000e+00,4.8303e-01,0.0000e+00,2.4255e-01,1.3626e-01,3.4930e-01,2.4385e-01,1.3625e-01,3.4913e-01,7.9167e-01,7.9167e-01,4.8333e+00,4.8333e+00,1.9362e-04,1.9358e-04,1.9358e-04,-8.8380e-05,3.7000e-17,-8.8380e-05,6.5833e-01,6.5833e-01,7.0000e+00,7.0000e+00,1.6665e-04,1.6665e-04,1.6665e-04,-5.8767e-05,-3.7000e-17,-5.8767e-05,
335,1.0905e+03,5.4300e+02,5.4750e+02,5.4533e-01,0.0000e+00,4.9612e-01,5.5000e+02,2.7717e+02,2.7283e+02,2.7500e-01,0.0000e+00,5.0800e-01,0.0000e+00,2.4143e-01,1.3644e-01,3.4918e-01,2.4263e-01,1.3641e-01,3.4918e-01,6.9167e-01,6.9167e-01,6.1667e+00,6.1667e+00,1.7585e-04,1.7577e-04,1.7577e-04,-1.9310e-04,-3.7000e-17,-1.9310e-04,6.3333e-01,6.3333e-01,7.5000e+00,7.5000e+00,1.5152e-04,1.5148e-04,1.5148e-04,-1.2280e-04,-3.7000e-17,-1.2280e-04,
340,1.0657e+03,5.4467e+02,5.2100e+02,5.3300e-01,0.0000e+00,5.2333e-01,5.5000e+02,2.7150e+02,2.7850e+02,2.7500e-01,0.0000e+00,4.8758e-01,0.0000e+00,2.4243e-01,1.3633e-01,3.4913e-01,2.4480e-01,1.3637e-01,3.4935e-01,8.0000e-01,8.0000e-01,4.5000e+00,4.5000e+00,2.1487e-04,2.1483e-04,2.1483e-04,-1.0392e-04,1.8500e-17,-1.0392e-04,7.0000e-01,7.0000e-01,6.3333e+00,6.3333e+00,2.3483e-04,2.3477e-04,2.3477e-04,-1.3100e-04,-7.4000e-17,-1.3100e-04,
345,1.0768e+03,5.4517e+02,5.3167e+02,5.3833e-01,0.0000e+00,5.1288e-01,5.5000e+02,2.7517e+02,2.7483e+02,2.7500e-01,0.0000e+00,5.0063e-01,0.0000e+00,2.4347e-01,1.3626e-01,3.5222e-01,2.4632e-01,1.3625e-01,3.5523e-01,7.3333e-01,7.3333e-01,5.6667e+00,5.6667e+00,1.8957e-04,1.8950e-04,1.8950e-04,-1.8890e-04,1.8500e-17,-1.8890e-04,6.2500e-01,6.2500e-01,7.6667e+00,7.6667e+00,1.5150e-04,1.5147e-04,1.5147e-04,-1.3275e-04,-3.7000e-17,-1.3275e-04,
350,1.0570e+03,5.1517e+02,5.4183e+02,5.2850e-01,0.0000e+00,4.7530e-01,5.5000e+02,2.6917e+02,2.8083e+02,2.7500e-01,0.0000e+00,4.7970e-01,0.0000e+00,2.5463e-01,1.3646e-01,3.7045e-01,2.5068e-01,1.3638e-01,3.6107e-01,7.5000e-01,7.5000e-01,5.6667e+00,5.6667e+00,1.9617e-04,1.9605e-04,1.9605e-04,-2.2960e-04,0.0000e+00,-2.2960e-04,6.0833e-01,6.0833e-01,8.3333e+00,8.3333e+00,1.2120e-04,1.2117e-04,1.2117e-04,-1.3277e-04,0.0000e+00,-1.3277e-04,
355,1.0643e+03,5.2333e+02,5.4100e+02,5.3217e-01,0.0000e+00,4.8358e-01,5.4650e+02,2.7033e+02,2.7617e+02,2.7325e-01,0.0000e+00,4.9013e-01,0.0000e+00,2.5958e-01,1.3627e-01,3.8130e-01,2.5933e-01,1.3626e-01,3.8092e-01,7.5000e-01,7.5000e-01,5.6667e+00,5.6667e+00,1.8098e-04,1.8093e-04,1.8093e-04,-1.2002e-04,0.0000e+00,-1.2002e-04,6.2500e-01,6.2500e-01,7.5000e+00,7.5000e+00,1.3755e-04,1.3752e-04,1.3752e-04,-6.0333e-05,0.0000e+00,-6.0333e-05,
360,1.0967e+03,5.4300e+02,5.5367e+02,5.4833e-01,0.0000e+00,4.9040e-01,5.5000e+02,2.7933e+02,2.7067e+02,2.7500e-01,0.0000e+00,5.1600e-01,0.0000e+00,2.6013e-01,1.3619e-01,3.8152e-01,2.5688e-01,1.3617e-01,3.8142e-01,7.5833e-01,7.5833e-01,5.6667e+00,5.6667e+00,1.7082e-04,1.7078e-04,1.7078e-04,-1.1363e-04,0.0000e+00,-1.1363e-04,6.2500e-01,6.2500e-01,7.6667e+00,7.6667e+00,1.5908e-04,1.5903e-04,1.5903e-04,-2.0230e-04,-7.4000e-17,-2.0230e-04,
365,1.0567e+03,5.4483e+02,5.1183e+02,5.2850e-01,0.0000e+00,5.3217e-01,5.5000e+02,2.6900e+02,2.8100e+02,2.7500e-01,0.0000e+00,4.7883e-01,0.0000e+00,2.5437e-01,1.3595e-01,3.8148e-01,2.6080e-01,1.3570e-01,3.8138e-01,7.6667e-01,7.6667e-01,5.3333e+00,5.3333e+00,2.1028e-04,2.1020e-04,2.1020e-04,-1.4115e-04,0.0000e+00,-1.4115e-04,6.9167e-01,6.9167e-01,6.5000e+00,6.5000e+00,1.9697e-04,1.9693e-04,1.9693e-04,-5.9750e-05,0.0000e+00,-5.9750e-05,
370,1.1070e+03,5.6983e+02,5.3717e+02,5.5350e-01,0.0000e+00,5.3083e-01,5.5000e+02,2.8183e+02,2.6817e+02,2.7500e-01,0.0000e+00,5.2617e-01,0.0000e+00,2.5628e-01,1.3627e-01,3.8153e-01,2.5548e-01,1.3639e-01,3.8152e-01,7.7500e-01,7.7500e-01,5.3333e+00,5.3333e+00,1.8825e-04,1.8818e-04,1.8818e-04,-1.2294e-04,3.7000e-17,-1.2294e-04,6.7500e-01,6.7500e-01,6.5000e+00,6.5000e+00,1.8940e-04,1.8935e-04,1.8935e-04,-8.8517e-05,-7.4000e-17,-8.8517e-05,
375,1.0643e+03,5.2800e+02,5.3633e+02,5.3217e-01,0.0000e+00,4.9203e-01,5.5000e+02,2.7067e+02,2.7933e+02,2.7500e-01,0.0000e+00,4.8510e-01,0.0000e+00,2.5947e-01,1.3636e-01,3.8157e-01,2.5897e-01,1.3636e-01,3.8150e-01,8.4167e-01,8.4167e-01,4.1667e+00,4.1667e+00,2.4378e-04,2.4370e-04,2.4370e-04,-1.2742e-04,0.0000e+00,-1.2742e-04,6.2500e-01,6.2500e-01,7.5000e+00,7.5000e+00,1.9698e-04,1.9687e-04,1.9687e-04,-2.3707e-04,-3.7000e-17,-2.3707e-04,
380,1.9610e+03,9.8067e+02,9.8033e+02,9.8067e-01,0.0000e+00,5.0073e-01,1.0000e+03,5.0000e+02,5.0000e+02,5.0000e-01,0.0000e+00,5.0000e-01,0.0000e+00,2.5840e-01,1.3622e-01,3.7862e-01,2.5747e-01,1.3622e-01,3.7873e-01,9.0833e-01,9.0833e-01,3.1667e+00,3.1667e+00,1.8082e-04,1.8078e-04,1.8078e-04,-1.0520e-04,-3.7000e-17,-1.0520e-04,7.7500e-01,7.7500e-01,5.6667e+00,5.6667e+00,1.8750e-04,1.8745e-04,1.8745e-04,-1.1540e-04,-7.4000e-17,-1.1540e-04,
385,1.9620e+03,9.7217e+02,9.8983e+02,9.8100e-01,0.0000e+00,4.9110e-01,1.0000e+03,5.0000e+02,5.0000e+02,5.0000e-01,0.0000e+00,5.0000e-01,0.0000e+00,2.5605e-01,1.3636e-01,3.7542e-01,2.5603e-01,1.3643e-01,3.7565e-01,8.7500e-01,8.7500e-01,3.6667e+00,3.6667e+00,1.7638e-04,1.7633e-04,1.7633e-04,-1.1860e-04,3.7000e-17,-1.1860e-04,7.8333e-01,7.8333e-01,5.0000e+00,5.0000e+00,2.2083e-04,2.2077e-04,2.2077e-04,-1.6525e-04,-1.1100e-16,-1.6525e-04,
390,1.9667e+03,9.8017e+02,9.8650e+02,9.8333e-01,0.0000e+00,4.9697e-01,1.0000e+03,5.0000e+02,5.0000e+02,5.0000e-01,0.0000e+00,5.0000e-01,0.0000e+00,2.5808e-01,1.3624e-01,3.7883e-01,2.5778e-01,1.3618e-01,3.7938e-01,9.0000e-01,9.0000e-01,3.3333e+00,3.3333e+00,2.0118e-04,2.0112e-04,2.0112e-04,-1.3162e-04,-1.1100e-16,-1.3162e-04,8.1667e-01,8.1667e-01,4.5000e+00,4.5000e+00,2.2083e-04,2.2080e-04,2.2080e-04,-9.0517e-05,-3.7000e-17,-9.0517e-05,
395,1.9628e+03,9.7200e+02,9.9083e+02,9.8150e-01,0.0000e+00,4.9103e-01,1.0000e+03,5.0000e+02,5.0000e+02,5.0000e-01,0.0000e+00,5.0000e-01,0.0000e+00,2.5890e-01,1.3625e-01,3.7708e-01,2.5607e-01,1.3621e-01,3.7592e-01,9.2500e-01,9.2500e-01,3.3333e+00,3.3333e+00,2.3340e-04,2.3333e-04,2.3333e-04,-1.6292e-04,1.8500e-17,-1.6292e-04,8.5000e-01,8.5000e-01,4.3333e+00,4.3333e+00,2.4167e-04,2.4162e-04,2.4162e-04,-1.0478e-04,0.0000e+00,-1.0478e-04,
400,1.9617e+03,9.7267e+02,9.8900e+02,9.8083e-01,0.0000e+00,4.9207e-01,1.0000e+03,5.0000e+02,5.0000e+02,5.0000e-01,0.0000e+00,5.0000e-01,0.0000e+00,2.5968e-01,1.3626e-01,3.7983e-01,2.5722e-01,1.3627e-01,3.7813e-01,9.4167e-01,9.4167e-01,2.8333e+00,2.8333e+00,2.0177e-04,2.0172e-04,2.0172e-04,-1.4008e-04,0.0000e+00,-1.4008e-04,6.9167e-01,6.9167e-01,6.1667e+00,6.1667e+00,1.5833e-04,1.5828e-04,1.5828e-04,-1.3245e-04,-7.4000e-17,-1.3245e-04,
405,1.9637e+03,9.6467e+02,9.9900e+02,9.8183e-01,0.0000e+00,4.8332e-01,1.0000e+03,5.0000e+02,5.0000e+02,5.0000e-01,0.0000e+00,5.0000e-01,0.0000e+00,2.5972e-01,1.3626e-01,3.7833e-01,2.5732e-01,1.3633e-01,3.7832e-01,9.6667e-01,9.6667e-01,2.3333e+00,2.3333e+00,4.4617e-03,3.5717e-03,3.5717e-03,-4.3974e-02,7.4000e-17,-4.3974e-02,8.1667e-01,8.1667e-01,4.5000e+00,4.5000e+00,8.6667e-04,8.4390e-04,8.4390e-04,-6.1008e-03,-1.1100e-16,-6.1008e-03,
410,1.9657e+03,9.9533e+02,9.7033e+02,9.8283e-01,0.0000e+00,5.1300e-01,1.0000e+03,5.0000e+02,5.0000e+02,5.0000e-01,0.0000e+00,5.0000e-01,0.0000e+00,2.5673e-01,1.3626e-01,3.8018e-01,2.5770e-01,1.3629e-01,3.7907e-01,9.7500e-01,9.7500e-01,2.6667e+00,2.6667e+00,1.5057e-03,1.4038e-03,1.4038e-03,-1.3636e-02,0.0000e+00,-1.3636e-02,7.1667e-01,7.1667e-01,5.8333e+00,5.8333e+00,3.0042e-03,2.5224e-03,2.5224e-03,-3.3399e-02,-7.4000e-17,-3.3399e-02,
