generation,off.nbr,off.nbfem,off.nbmal,off.density,off.dvar,off.sexratio,adlt.nbr,adlt.nbfem,adlt.nbmal,adlt.density,adlt.dvar,adlt.sexratio,extrate,off.disp,off.fdisp,off.mdisp,adlt.disp,adlt.fdisp,adlt.mdisp,off.allnbp,off.allnb,off.fixlocp,off.fixloc,off.ho,off.hsnei,off.htnei,off.fis,off.fst,off.fit,adlt.allnbp,adlt.allnb,adlt.fixlocp,adlt.fixloc,adlt.ho,adlt.hsnei,adlt.htnei,adlt.fis,adlt.fst,adlt.fit
50,6.9983e+03,3.4997e+03,3.4987e+03,3.4990e+00,0.0000e+00,1.0005e+00,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.4380e-01,3.8862e-01,7.0112e-01,5.4475e-01,3.8852e-01,7.0097e-01,2.1500e+00,2.1500e+00,4.0000e+00,4.0000e+00,1.5906e-03,1.5054e-03,1.5054e-03,-1.2237e-02,0.0000e+00,-1.2237e-02,1.5333e+00,1.5333e+00,1.0500e+01,1.0500e+01,2.5792e-03,2.2841e-03,2.2841e-03,-2.4605e-02,-1.4800e-16,-2.4605e-02,
55,6.9973e+03,3.4855e+03,3.5118e+03,3.4983e+00,0.0000e+00,9.9310e-01,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.4443e-01,3.8865e-01,7.0115e-01,5.4488e-01,3.8862e-01,7.0117e-01,2.0917e+00,2.0917e+00,4.0000e+00,4.0000e+00,1.8770e-03,1.7479e-03,1.7479e-03,-1.5726e-02,1.8500e-17,-1.5726e-02,1.5333e+00,1.5333e+00,1.0667e+01,1.0667e+01,3.3700e-03,2.8549e-03,2.8549e-03,-3.4841e-02,-1.1100e-16,-3.4841e-02,
60,6.9980e+03,3.4713e+03,3.5267e+03,3.4985e+00,0.0000e+00,9.8442e-01,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.4670e-01,3.8860e-01,7.0117e-01,5.4488e-01,3.8858e-01,7.0120e-01,2.0750e+00,2.0750e+00,3.8333e+00,3.8333e+00,4.5252e-04,4.5213e-04,4.5213e-04,-5.9598e-04,-5.5500e-17,-5.9598e-04,1.5583e+00,1.5583e+00,9.3333e+00,9.3333e+00,5.4167e-04,5.4055e-04,5.4055e-04,-1.0924e-03,-7.4000e-17,-1.0924e-03,
65,6.9983e+03,3.5120e+03,3.4863e+03,3.4988e+00,0.0000e+00,1.0074e+00,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.4255e-01,3.8555e-01,7.0105e-01,5.4167e-01,3.8214e-01,7.0118e-01,2.0750e+00,2.0750e+00,4.3333e+00,4.3333e+00,4.5248e-04,4.5233e-04,4.5233e-04,-3.2398e-04,-3.7000e-17,-3.2398e-04,1.5500e+00,1.5500e+00,1.0333e+01,1.0333e+01,4.5417e-04,4.5400e-04,4.5400e-04,-3.3695e-04,-1.4800e-16,-3.3695e-04,
70,6.9983e+03,3.5022e+03,3.4962e+03,3.4992e+00,0.0000e+00,1.0020e+00,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.4508e-01,3.8841e-01,7.0115e-01,5.4457e-01,3.8816e-01,7.0100e-01,2.0167e+00,2.0167e+00,3.8333e+00,3.8333e+00,4.4677e-03,3.4609e-03,3.4609e-03,-5.3931e-02,1.8500e-17,-5.3931e-02,1.5500e+00,1.5500e+00,1.0000e+01,1.0000e+01,4.0833e-04,4.0820e-04,4.0820e-04,-3.5250e-04,-1.4800e-16,-3.5250e-04,
75,6.9980e+03,3.5013e+03,3.4967e+03,3.4988e+00,0.0000e+00,1.0016e+00,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.4403e-01,3.8854e-01,7.0093e-01,5.4462e-01,3.8850e-01,7.0077e-01,2.1583e+00,2.1583e+00,2.5000e+00,2.5000e+00,4.5327e-03,4.2343e-03,4.2343e-03,-1.2915e-02,-3.7000e-17,-1.2915e-02,1.6000e+00,1.6000e+00,9.3333e+00,9.3333e+00,4.3450e-03,3.4316e-03,3.4316e-03,-4.9702e-02,-7.4000e-17,-4.9702e-02,
80,6.9853e+03,3.5092e+03,3.4762e+03,3.4925e+00,0.0000e+00,1.0099e+00,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.4280e-01,3.8854e-01,7.0052e-01,5.4465e-01,3.8855e-01,7.0075e-01,2.1417e+00,2.1417e+00,2.0000e+00,2.0000e+00,4.6403e-03,4.1735e-03,4.1735e-03,-2.0537e-02,-3.7000e-17,-2.0537e-02,1.5917e+00,1.5917e+00,9.8333e+00,9.8333e+00,3.2617e-03,2.7749e-03,2.7749e-03,-3.3636e-02,-7.4000e-17,-3.3636e-02,
85,6.9985e+03,3.4970e+03,3.5015e+03,3.4992e+00,0.0000e+00,9.9880e-01,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.4197e-01,3.8215e-01,7.0073e-01,5.4340e-01,3.8587e-01,7.0097e-01,2.1250e+00,2.1250e+00,3.6667e+00,3.6667e+00,4.6184e-03,3.6166e-03,3.6166e-03,-5.0774e-02,0.0000e+00,-5.0774e-02,1.5417e+00,1.5417e+00,9.8333e+00,9.8333e+00,7.7500e-04,7.6510e-04,7.6510e-04,-3.7836e-03,-1.4800e-16,-3.7836e-03,
90,6.9987e+03,3.5023e+03,3.4963e+03,3.4992e+00,0.0000e+00,1.0018e+00,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.3507e-01,3.7765e-01,6.9392e-01,5.3698e-01,3.7764e-01,6.9630e-01,2.0667e+00,2.0667e+00,3.5000e+00,3.5000e+00,1.6765e-03,1.5835e-03,1.5835e-03,-1.2740e-02,0.0000e+00,-1.2740e-02,1.5417e+00,1.5417e+00,1.0000e+01,1.0000e+01,2.6750e-03,2.3649e-03,2.3649e-03,-2.5544e-02,-1.4800e-16,-2.5544e-02,
95,6.9995e+03,3.4795e+03,3.5200e+03,3.4997e+00,0.0000e+00,9.8865e-01,2.0000e+03,1.0000e+03,1.0000e+03,1.0000e+00,0.0000e+00,1.0000e+00,0.0000e+00,5.3858e-01,3.8368e-01,6.9138e-01,5.3503e-01,3.7852e-01,6.9152e-01,2.0250e+00,2.0250e+00,4.5000e+00,4.5000e+00,4.1553e-04,4.1508e-04,4.1508e-04,-6.7742e-04,-3.7000e-17,-6.7742e-04,1.5083e+00,1.5083e+00,1.1000e+01,1.1000e+01,4.5000e-04,4.4897e-04,4.4897e-04,-1.0098e-03,-1.4800e-16,-1.0098e-03,
