generation,off.nbr,off.nbfem,off.nbmal,off.density,off.dvar,off.sexratio,adlt.nbr,adlt.nbfem,adlt.nbmal,adlt.density,adlt.dvar,adlt.sexratio,extrate,off.fem.p1,off.fem.p2,off.fem.p3,off.fem.p4,off.fem.p5,off.fem.p6,off.fem.p7,off.fem.p8,off.fem.p9,off.mal.p1,off.mal.p2,off.mal.p3,off.mal.p4,off.mal.p5,off.mal.p6,off.mal.p7,off.mal.p8,off.mal.p9,adlt.fem.p1,adlt.fem.p2,adlt.fem.p3,adlt.fem.p4,adlt.fem.p5,adlt.fem.p6,adlt.fem.p7,adlt.fem.p8,adlt.fem.p9,adlt.mal.p1,adlt.mal.p2,adlt.mal.p3,adlt.mal.p4,adlt.mal.p5,adlt.mal.p6,adlt.mal.p7,adlt.mal.p8,adlt.mal.p9,age.patch1,age.patch2,age.patch3,age.patch4,age.patch5,age.patch6,age.patch7,age.patch8,age.patch9,patch.avg.age,extrate,off.disp,off.fdisp,off.mdisp,adlt.disp,adlt.fdisp,adlt.mdisp
50,1.9855e+03,1.2258e+02,1.2560e+02,0.0000e+00,8.2375e-03,9.7643e-01,1.4392e+03,9.0000e+01,8.9897e+01,0.0000e+00,3.7667e-05,1.0012e+00,2.2220e-01,1.5233e+02,7.7167e+01,1.5217e+02,7.6333e+01,1.5117e+02,0.0000e+00,1.4567e+02,1.5267e+02,7.3333e+01,1.5683e+02,7.1000e+01,1.5550e+02,7.9667e+01,1.6967e+02,0.0000e+00,1.4700e+02,1.4867e+02,7.6333e+01,1.1100e+02,5.5000e+01,1.1100e+02,5.5000e+01,1.1100e+02,0.0000e+00,1.1100e+02,1.1100e+02,5.5000e+01,1.1100e+02,5.5000e+01,1.1100e+02,5.4167e+01,1.1100e+02,0.0000e+00,1.1100e+02,1.1100e+02,5.5000e+01,4.9000e+01,4.9000e+01,4.9000e+01,4.9000e+01,4.9000e+01,0.0000e+00,4.9000e+01,4.9000e+01,4.9000e+01,4.3000e+01,5.3488e-01,5.6053e-01,5.1093e-01,5.3490e-01,5.5720e-01,5.1255e-01,
55,1.9992e+03,1.2500e+02,1.2490e+02,0.0000e+00,1.1159e-02,1.0015e+00,1.4392e+03,8.9937e+01,8.9958e+01,0.0000e+00,3.7667e-05,9.9977e-01,2.2220e-01,1.6133e+02,7.7333e+01,1.4167e+02,7.8000e+01,1.5517e+02,0.0000e+00,1.5900e+02,1.4967e+02,7.7833e+01,1.5750e+02,7.5500e+01,1.5483e+02,7.8500e+01,1.5800e+02,0.0000e+00,1.5467e+02,1.4533e+02,7.4833e+01,1.1100e+02,5.5000e+01,1.1100e+02,5.5000e+01,1.1100e+02,0.0000e+00,1.1100e+02,1.1100e+02,5.4500e+01,1.1100e+02,5.5000e+01,1.1100e+02,5.5000e+01,1.1100e+02,0.0000e+00,1.1100e+02,1.1100e+02,5.4667e+01,5.4000e+01,5.4000e+01,5.4000e+01,5.4000e+01,5.4000e+01,0.0000e+00,5.4000e+01,5.4000e+01,5.4000e+01,4.8000e+01,5.2812e-01,5.4597e-01,5.0947e-01,5.3195e-01,5.5358e-01,5.1028e-01,
60,1.9658e+03,1.2353e+02,1.2218e+02,0.0000e+00,1.0441e-02,1.0126e+00,1.4400e+03,9.0000e+01,9.0000e+01,0.0000e+00,0.0000e+00,1.0000e+00,2.2220e-01,1.6083e+02,7.6167e+01,1.5450e+02,7.1000e+01,1.4667e+02,0.0000e+00,1.4800e+02,1.5433e+02,7.6833e+01,1.4817e+02,7.8667e+01,1.5100e+02,7.0000e+01,1.4867e+02,0.0000e+00,1.5950e+02,1.4217e+02,7.9333e+01,1.1100e+02,5.5000e+01,1.1100e+02,5.5000e+01,1.1100e+02,0.0000e+00,1.1100e+02,1.1100e+02,5.5000e+01,1.1100e+02,5.5000e+01,1.1100e+02,5.5000e+01,1.1100e+02,0.0000e+00,1.1100e+02,1.1100e+02,5.5000e+01,5.9000e+01,5.9000e+01,5.9000e+01,5.9000e+01,5.9000e+01,0.0000e+00,5.9000e+01,5.9000e+01,5.9000e+01,5.2000e+01,5.2278e-01,5.4487e-01,5.0345e-01,5.2853e-01,5.5020e-01,5.0692e-01,
65,1.9912e+03,1.2320e+02,1.2568e+02,0.0000e+00,9.5652e-03,9.8115e-01,1.4388e+03,9.0000e+01,8.9853e+01,0.0000e+00,1.8117e-05,1.0017e+00,2.2220e-01,1.5200e+02,7.5167e+01,1.5917e+02,7.2833e+01,1.4950e+02,0.0000e+00,1.5467e+02,1.4483e+02,7.7500e+01,1.5017e+02,7.9667e+01,1.5883e+02,7.3000e+01,1.5000e+02,0.0000e+00,1.6000e+02,1.4867e+02,8.5167e+01,1.1100e+02,5.5000e+01,1.1100e+02,5.5000e+01,1.1100e+02,0.0000e+00,1.1100e+02,1.1100e+02,5.5000e+01,1.1100e+02,5.5000e+01,1.1100e+02,5.5000e+01,1.1100e+02,0.0000e+00,1.1100e+02,1.0983e+02,5.5000e+01,6.4000e+01,6.4000e+01,6.4000e+01,6.4000e+01,6.4000e+01,0.0000e+00,6.4000e+01,6.4000e+01,6.4000e+01,5.6000e+01,5.3038e-01,5.5917e-01,5.0127e-01,5.2850e-01,5.5190e-01,5.0510e-01,
70,1.9847e+03,1.2647e+02,1.2162e+02,0.0000e+00,7.1583e-03,1.0410e+00,1.4400e+03,9.0000e+01,9.0000e+01,0.0000e+00,0.0000e+00,1.0000e+00,2.2220e-01,1.5850e+02,7.7500e+01,1.5367e+02,7.9000e+01,1.5483e+02,0.0000e+00,1.5533e+02,1.5250e+02,8.0500e+01,1.4783e+02,7.5500e+01,1.4967e+02,7.3667e+01,1.4917e+02,0.0000e+00,1.5233e+02,1.4950e+02,7.5167e+01,1.1100e+02,5.5000e+01,1.1100e+02,5.5000e+01,1.1100e+02,0.0000e+00,1.1100e+02,1.1100e+02,5.5000e+01,1.1100e+02,5.5000e+01,1.1100e+02,5.5000e+01,1.1100e+02,0.0000e+00,1.1100e+02,1.1100e+02,5.5000e+01,6.9000e+01,6.9000e+01,6.9000e+01,6.9000e+01,6.9000e+01,0.0000e+00,6.9000e+01,6.9000e+01,6.9000e+01,6.1000e+01,5.2540e-01,5.4967e-01,5.0107e-01,5.2787e-01,5.5347e-01,5.0222e-01,
75,1.9705e+03,1.2183e+02,1.2448e+02,0.0000e+00,1.8436e-02,9.7925e-01,1.4308e+03,8.9563e+01,8.9292e+01,0.0000e+00,1.1188e-03,1.0032e+00,2.2220e-01,1.5283e+02,7.1500e+01,1.5367e+02,7.3667e+01,1.5850e+02,0.0000e+00,1.4917e+02,1.3917e+02,7.6167e+01,1.5050e+02,7.8833e+01,1.5300e+02,7.1667e+01,1.6267e+02,0.0000e+00,1.5783e+02,1.4317e+02,7.8167e+01,1.1100e+02,5.5000e+01,1.1100e+02,5.5000e+01,1.1100e+02,0.0000e+00,1.1100e+02,1.0750e+02,5.5000e+01,1.1100e+02,5.5000e+01,1.1100e+02,5.5000e+01,1.1100e+02,0.0000e+00,1.1100e+02,1.0533e+02,5.5000e+01,7.4000e+01,7.4000e+01,7.4000e+01,7.4000e+01,7.4000e+01,0.0000e+00,7.4000e+01,7.4000e+01,7.4000e+01,6.5000e+01,5.2568e-01,5.5295e-01,4.9850e-01,5.2700e-01,5.5320e-01,5.0075e-01,
80,1.8840e+03,1.1720e+02,1.1830e+02,0.0000e+00,2.9475e-02,9.8985e-01,1.4202e+03,8.8873e+01,8.8647e+01,0.0000e+00,3.9812e-03,1.0028e+00,2.2220e-01,1.4317e+02,7.2000e+01,1.4700e+02,7.7000e+01,1.5183e+02,0.0000e+00,1.4100e+02,1.3033e+02,7.5333e+01,1.4233e+02,7.4667e+01,1.5100e+02,7.6167e+01,1.4833e+02,0.0000e+00,1.4633e+02,1.2983e+02,7.7667e+01,1.0983e+02,5.5000e+01,1.1100e+02,5.5000e+01,1.1100e+02,0.0000e+00,1.1100e+02,1.0317e+02,5.5000e+01,1.1100e+02,5.5000e+01,1.1100e+02,5.4333e+01,1.1100e+02,0.0000e+00,1.1100e+02,1.0167e+02,5.4167e+01,7.9000e+01,7.9000e+01,7.9000e+01,7.9000e+01,7.9000e+01,0.0000e+00,7.9000e+01,7.9000e+01,7.9000e+01,7.0000e+01,5.2383e-01,5.4757e-01,4.9958e-01,5.2663e-01,5.5342e-01,4.9990e-01,
85,1.9288e+03,1.1932e+02,1.2180e+02,0.0000e+00,3.1020e-02,9.7967e-01,1.4123e+03,8.8208e+01,8.8333e+01,0.0000e+00,1.0192e-02,9.9843e-01,2.2220e-01,1.4767e+02,7.3500e+01,1.5200e+02,7.5500e+01,1.5017e+02,0.0000e+00,1.5317e+02,1.3000e+02,7.2500e+01,1.5650e+02,7.4333e+01,1.4983e+02,7.9167e+01,1.5017e+02,0.0000e+00,1.5250e+02,1.3150e+02,8.0333e+01,1.1100e+02,5.5000e+01,1.1100e+02,5.5000e+01,1.1100e+02,0.0000e+00,1.1100e+02,9.6667e+01,5.5000e+01,1.1100e+02,5.5000e+01,1.1100e+02,5.5000e+01,1.1100e+02,0.0000e+00,1.1100e+02,9.7667e+01,5.5000e+01,8.4000e+01,8.4000e+01,8.4000e+01,8.4000e+01,8.4000e+01,0.0000e+00,8.4000e+01,8.4000e+01,8.4000e+01,7.4000e+01,5.2373e-01,5.5263e-01,4.9437e-01,5.2558e-01,5.5390e-01,4.9725e-01,
90,1.9402e+03,1.1975e+02,1.2277e+02,0.0000e+00,3.6229e-02,9.7658e-01,1.4092e+03,8.8230e+01,8.7917e+01,0.0000e+00,1.0435e-02,1.0035e+00,2.2220e-01,1.4433e+02,7.4333e+01,1.5400e+02,7.5000e+01,1.5733e+02,0.0000e+00,1.4900e+02,1.3000e+02,7.4000e+01,1.4900e+02,8.2333e+01,1.5433e+02,7.2000e+01,1.5900e+02,0.0000e+00,1.5717e+02,1.3567e+02,7.2667e+01,1.1100e+02,5.5000e+01,1.1100e+02,5.5000e+01,1.1100e+02,0.0000e+00,1.1100e+02,9.6833e+01,5.5000e+01,1.1100e+02,5.5000e+01,1.1100e+02,5.5000e+01,1.1100e+02,0.0000e+00,1.0800e+02,9.7333e+01,5.5000e+01,8.9000e+01,8.9000e+01,8.9000e+01,8.9000e+01,8.9000e+01,0.0000e+00,8.9000e+01,8.9000e+01,8.9000e+01,7.9000e+01,5.2228e-01,5.5142e-01,4.9630e-01,5.2568e-01,5.5422e-01,4.9750e-01,
95,1.9598e+03,1.2188e+02,1.2312e+02,0.0000e+00,4.6737e-02,9.9175e-01,1.4053e+03,8.7853e+01,8.7813e+01,0.0000e+00,1.6002e-02,1.0005e+00,2.2220e-01,1.5950e+02,7.1333e+01,1.6150e+02,7.3167e+01,1.5333e+02,0.0000e+00,1.5033e+02,1.2917e+02,7.6667e+01,1.5433e+02,7.9167e+01,1.6183e+02,7.4667e+01,1.5117e+02,0.0000e+00,1.5483e+02,1.3533e+02,7.3500e+01,1.1100e+02,5.5000e+01,1.1100e+02,5.5000e+01,1.1100e+02,0.0000e+00,1.1100e+02,9.3833e+01,5.5000e+01,1.1100e+02,5.5000e+01,1.1100e+02,5.5000e+01,1.1100e+02,0.0000e+00,1.1100e+02,9.3500e+01,5.5000e+01,9.4000e+01,9.4000e+01,9.4000e+01,9.4000e+01,9.4000e+01,0.0000e+00,9.4000e+01,9.4000e+01,9.4000e+01,8.3000e+01,5.2172e-01,5.4358e-01,5.0057e-01,5.2662e-01,5.5275e-01,5.0047e-01,
